RANK,TEAM,ACTIVE PLAYERS,FORWARDS,MIDFIELDERS,DEFENSEMEN,GOALKEEPERS,TRANSFER FEES,EST. TOTAL SALARY
1,Chelsea F.C.,28,"£10,365,000","£60,992,000","£44,980,000","£11,596,000","£195,360,000","£132,353,000"
2,Manchester City F.C.,26,"£44,200,000","£50,440,000","£42,276,000","£7,540,000","£62,350,000","£144,456,000"
3,Arsenal F.C.,28,"£28,967,273","£50,180,000","£37,544,000","£11,960,000","£69,900,000","£128,651,273"
4,Liverpool F.C.,26,"£38,480,000","£46,020,000","£29,900,000","£7,800,000","£176,587,250","£122,200,000"
5,Everton F.C.,28,"£18,096,000","£31,176,000","£28,080,000","£6,760,000","£88,870,000","£84,112,000"
6,Wolverhampton Wanderers F.C.,25,"£9,432,000","£13,230,000","£8,875,000","£7,176,000","£65,160,000","£38,713,000"
7,Fulham F.C.,24,"£12,454,000","£12,374,000","£11,070,800","£6,500,000","£83,950,000","£42,398,800"
8,Cardiff City F.C.,23,"£7,095,666","£4,485,000","£9,384,500","£3,120,000","£27,500,000","£24,085,166"
9,Brighton & Hove Albion,23,"£12,740,000","£11,960,000","£10,674,000","£3,486,666","£52,810,000","£38,860,666"
10,Watford,23,"£13,520,000","£14,040,000","£15,812,000","£3,380,000","£17,800,000","£46,752,000"
11,Aston Villa F.C.,12,"£2,392,000","£5,200,000","£4,004,000","£1,040,000","£7,410,000","£12,636,000"
12,Huddersfield Town,25,"£9,219,600","£10,452,000","£10,712,000","£650,000","£38,870,000","£31,033,600"
13,Leicester City,28,"£15,860,000","£26,312,000","£28,340,000","£8,996,000","£91,500,000","£79,508,000"
14,Crystal Palace,25,"£20,020,000","£18,356,000","£25,012,000","£6,500,000","£9,500,000","£69,888,000"
15,AFC Bournemouth,7,"£3,640,000","£2,600,000","£8,060,000","£3,640,000","£25,125,000","£17,940,000"
16,Burnley F.C.,24,"£9,620,000","£11,128,000","£14,096,000","£7,036,000","£29,700,000","£41,880,000"
17,West Ham United F.C.,25,"£22,100,000","£34,476,000","£22,464,000","£5,980,000","£87,900,000","£85,020,000"
18,Tottenham Hotspur F.C.,23,"£23,348,000","£30,680,000","£23,998,000","£8,320,000",£0,"£86,346,000"
19,Southampton F.C.,24,"£23,140,000","£17,420,000","£21,216,000","£8,320,000","£55,300,000","£70,096,000"
20,Newcastle United F.C.,24,"£13,208,000","£12,844,000","£15,392,000","£4,732,000","£23,230,000","£46,176,000"
21,Manchester United F.C.,26,"£39,520,000","£56,680,000","£37,180,000","£15,600,000","£71,000,000","£148,980,000"
,,,,,,,,
